## Data from seed predation experiment of
## Duncan, R. S. & Duncan, V. E. (2000) 
## Forest Succession and Distance from Forest Edge in an Afro-Tropical Grassland 
## Biotropica, 32:33--41
## At each station, 5 seeds of one of 8 species were placed
## Approximately once per week for 8 months, the number of seeds remaining were observed.
## Each station was located in an abandoned agricultural field 
## at one of two distances from the forest edge: (10m and 25m)
##    'seeds' records the number of seeds present
##    'available' equals 'seeds' at the previous timepoint
##    'taken' is the number of seeds presumably devoured by seed predators
##    'tcum' is the time (in da) since the beginning of the experiment
##    'tint' is the duration of the interval since the last observation
"station" "dist" "species" "date" "seeds" "tcum" "tint" "taken" "available"
"1" "10" "psd" 1999-03-25 5 0 NA NA NA
"1" "10" "psd" 1999-03-28 5 3 3 0 5
"1" "10" "psd" 1999-04-04 5 10 7 0 5
"1" "10" "psd" 1999-04-11 5 17 7 0 5
"1" "10" "psd" 1999-04-18 0 24 7 5 5
"1" "10" "psd" 1999-04-25 0 31 7 0 0
"1" "10" "psd" 1999-05-03 0 39 8 0 0
"1" "10" "psd" 1999-05-10 0 46 7 0 0
"1" "10" "psd" 1999-05-17 0 53 7 0 0
"1" "10" "psd" 1999-05-24 0 60 7 0 0
"1" "10" "psd" 1999-05-31 0 67 7 0 0
"1" "10" "psd" 1999-06-07 0 74 7 0 0
"1" "10" "psd" 1999-06-13 0 80 6 0 0
"1" "10" "psd" 1999-06-20 0 87 7 0 0
"1" "10" "psd" 1999-06-27 0 94 7 0 0
"1" "10" "psd" 1999-07-05 0 102 8 0 0
"1" "10" "psd" 1999-07-11 0 108 6 0 0
"1" "10" "psd" 1999-07-18 0 115 7 0 0
"1" "10" "psd" 1999-07-25 0 122 7 0 0
"1" "10" "psd" 1999-08-01 0 129 7 0 0
"1" "10" "psd" 1999-08-08 0 136 7 0 0
"1" "10" "psd" 1999-08-15 0 143 7 0 0
"1" "10" "psd" 1999-08-22 0 150 7 0 0
"1" "10" "psd" 1999-08-30 0 158 8 0 0
"1" "10" "psd" 1999-09-05 0 164 6 0 0
"1" "10" "psd" 1999-09-15 0 174 10 0 0
"1" "10" "psd" 1999-09-19 0 178 4 0 0
"1" "10" "psd" 1999-09-28 0 187 9 0 0
"1" "10" "psd" 1999-10-03 0 192 5 0 0
"1" "10" "psd" 1999-10-12 0 201 9 0 0
"1" "10" "psd" 1999-10-19 0 208 7 0 0
"1" "10" "psd" 1999-10-26 0 215 7 0 0
"1" "10" "psd" 1999-10-31 0 220 5 0 0
"1" "10" "psd" 1999-11-07 0 227 7 0 0
"1" "10" "psd" 1999-11-14 0 234 7 0 0
"1" "10" "psd" 1999-11-21 0 241 7 0 0
"1" "10" "psd" 1999-11-28 0 248 7 0 0
"2" "10" "uva" 1999-03-25 5 0 NA NA NA
"2" "10" "uva" 1999-03-28 5 3 3 0 5
"2" "10" "uva" 1999-04-04 5 10 7 0 5
"2" "10" "uva" 1999-04-11 5 17 7 0 5
"2" "10" "uva" 1999-04-18 5 24 7 0 5
"2" "10" "uva" 1999-04-25 5 31 7 0 5
"2" "10" "uva" 1999-05-03 5 39 8 0 5
"2" "10" "uva" 1999-05-10 5 46 7 0 5
"2" "10" "uva" 1999-05-17 5 53 7 0 5
"2" "10" "uva" 1999-05-24 5 60 7 0 5
"2" "10" "uva" 1999-05-31 5 67 7 0 5
"2" "10" "uva" 1999-06-07 5 74 7 0 5
"2" "10" "uva" 1999-06-13 5 80 6 0 5
"2" "10" "uva" 1999-06-20 5 87 7 0 5
"2" "10" "uva" 1999-06-27 5 94 7 0 5
"2" "10" "uva" 1999-07-05 5 102 8 0 5
"2" "10" "uva" 1999-07-11 5 108 6 0 5
"2" "10" "uva" 1999-07-18 5 115 7 0 5
"2" "10" "uva" 1999-07-25 5 122 7 0 5
"2" "10" "uva" 1999-08-01 5 129 7 0 5
"2" "10" "uva" 1999-08-08 5 136 7 0 5
"2" "10" "uva" 1999-08-15 5 143 7 0 5
"2" "10" "uva" 1999-08-22 5 150 7 0 5
"2" "10" "uva" 1999-08-30 5 158 8 0 5
"2" "10" "uva" 1999-09-05 5 164 6 0 5
"2" "10" "uva" 1999-09-15 5 174 10 0 5
"2" "10" "uva" 1999-09-19 5 178 4 0 5
"2" "10" "uva" 1999-09-28 5 187 9 0 5
"2" "10" "uva" 1999-10-03 5 192 5 0 5
"2" "10" "uva" 1999-10-12 5 201 9 0 5
"2" "10" "uva" 1999-10-19 5 208 7 0 5
"2" "10" "uva" 1999-10-26 5 215 7 0 5
"2" "10" "uva" 1999-10-31 5 220 5 0 5
"2" "10" "uva" 1999-11-07 5 227 7 0 5
"2" "10" "uva" 1999-11-14 5 234 7 0 5
"2" "10" "uva" 1999-11-21 5 241 7 0 5
"2" "10" "uva" 1999-11-28 5 248 7 0 5
"3" "10" "pol" 1999-03-25 5 0 NA NA NA
"3" "10" "pol" 1999-03-28 5 3 3 0 5
"3" "10" "pol" 1999-04-04 3 10 7 2 5
"3" "10" "pol" 1999-04-11 3 17 7 0 3
"3" "10" "pol" 1999-04-18 1 24 7 2 3
"3" "10" "pol" 1999-04-25 0 31 7 1 1
"3" "10" "pol" 1999-05-03 0 39 8 0 0
"3" "10" "pol" 1999-05-10 0 46 7 0 0
"3" "10" "pol" 1999-05-17 0 53 7 0 0
"3" "10" "pol" 1999-05-24 0 60 7 0 0
"3" "10" "pol" 1999-05-31 0 67 7 0 0
"3" "10" "pol" 1999-06-07 0 74 7 0 0
"3" "10" "pol" 1999-06-13 0 80 6 0 0
"3" "10" "pol" 1999-06-20 0 87 7 0 0
"3" "10" "pol" 1999-06-27 0 94 7 0 0
"3" "10" "pol" 1999-07-05 0 102 8 0 0
"3" "10" "pol" 1999-07-11 0 108 6 0 0
"3" "10" "pol" 1999-07-18 0 115 7 0 0
"3" "10" "pol" 1999-07-25 0 122 7 0 0
"3" "10" "pol" 1999-08-01 0 129 7 0 0
"3" "10" "pol" 1999-08-08 0 136 7 0 0
"3" "10" "pol" 1999-08-15 0 143 7 0 0
"3" "10" "pol" 1999-08-22 0 150 7 0 0
"3" "10" "pol" 1999-08-30 0 158 8 0 0
"3" "10" "pol" 1999-09-05 0 164 6 0 0
"3" "10" "pol" 1999-09-15 0 174 10 0 0
"3" "10" "pol" 1999-09-19 0 178 4 0 0
"3" "10" "pol" 1999-09-28 0 187 9 0 0
"3" "10" "pol" 1999-10-03 0 192 5 0 0
"3" "10" "pol" 1999-10-12 0 201 9 0 0
"3" "10" "pol" 1999-10-19 0 208 7 0 0
"3" "10" "pol" 1999-10-26 0 215 7 0 0
"3" "10" "pol" 1999-10-31 0 220 5 0 0
"3" "10" "pol" 1999-11-07 0 227 7 0 0
"3" "10" "pol" 1999-11-14 0 234 7 0 0
"3" "10" "pol" 1999-11-21 0 241 7 0 0
"3" "10" "pol" 1999-11-28 0 248 7 0 0
"4" "10" "dio" 1999-03-25 5 0 NA NA NA
"4" "10" "dio" 1999-03-28 3 3 3 2 5
"4" "10" "dio" 1999-04-04 3 10 7 0 3
"4" "10" "dio" 1999-04-11 3 17 7 0 3
"4" "10" "dio" 1999-04-18 3 24 7 0 3
"4" "10" "dio" 1999-04-25 0 31 7 3 3
"4" "10" "dio" 1999-05-03 0 39 8 0 0
"4" "10" "dio" 1999-05-10 0 46 7 0 0
"4" "10" "dio" 1999-05-17 0 53 7 0 0
"4" "10" "dio" 1999-05-24 0 60 7 0 0
"4" "10" "dio" 1999-05-31 0 67 7 0 0
"4" "10" "dio" 1999-06-07 0 74 7 0 0
"4" "10" "dio" 1999-06-13 0 80 6 0 0
"4" "10" "dio" 1999-06-20 0 87 7 0 0
"4" "10" "dio" 1999-06-27 0 94 7 0 0
